<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.25	282.40	287.90	278.00	279.90	24615	0	14
2021.03.26	279.89	284.34	276.72	281.51	22009	0	14
2021.03.29	282.02	293.01	281.90	291.05	22065	0	14
2021.03.30	290.42	292.33	287.81	288.19	18447	0	14
2021.03.31	288.21	296.35	288.20	294.82	10959	0	26
2021.04.01	296.53	302.21	296.40	298.30	15024	0	14
2021.04.05	298.52	310.63	295.03	307.52	17069	0	14
2021.04.06	307.75	311.18	305.60	306.57	16662	0	14
2021.04.07	305.76	314.09	305.21	311.80	11850	0	26
2021.04.08	315.31	315.76	309.94	313.01	12740	0	14
2021.04.09	311.51	314.58	309.81	311.85	11156	0	14
2021.04.12	310.97	311.71	307.84	310.84	9590	0	26
2021.04.13	311.14	314.29	309.75	310.00	9798	0	14
2021.04.14	309.68	310.18	301.86	303.15	11550	0	14
2021.04.15	304.24	309.98	303.80	307.32	10524	0	14
2021.04.16	307.32	309.24	304.58	306.02	10148	0	14
2021.04.19	305.92	307.55	300.45	301.70	12148	0	14
2021.04.20	301.10	304.91	297.12	303.37	12986	0	26
2021.04.21	300.96	301.96	297.26	300.66	9552	0	26
2021.04.22	300.92	302.79	296.01	296.86	13066	0	26
2021.04.23	298.32	302.52	297.06	301.58	9747	0	14
2021.04.26	301.12	305.61	300.53	302.76	10839	0	14
2021.04.27	303.08	305.19	301.19	305.02	12555	0	14
2021.04.28	308.33	310.73	305.25	308.73	14779	0	14
2021.04.29	328.46	332.34	321.56	330.60	21709	0	26
2021.04.30	326.50	329.66	324.45	325.88	13041	0	14
2021.05.03	323.07	328.34	321.85	322.79	13101	0	14
2021.05.04	321.47	321.80	313.02	317.00	15976	0	26
2021.05.05	319.24	320.91	314.65	315.26	14759	0	14
2021.05.06	315.63	319.47	313.19	318.59	15486	0	14
2021.05.07	320.89	326.10	318.62	319.68	13626	0	14
2021.05.10	315.30	315.87	304.70	307.03	14442	0	14
2021.05.11	300.33	306.70	297.31	305.57	16379	0	26
2021.05.12	304.49	305.65	298.09	303.49	17645	0	14
2021.05.13	301.70	308.71	300.89	306.81	16884	0	26
