<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.10	20:30:00	1.12987	1.12997	1.12949	1.12990	421	0	0
2020.07.12	00:00:00	1.13002	1.13168	1.12992	1.13082	1734	0	0
2020.07.12	21:00:00	1.13002	1.13028	1.12992	1.13016	0	0	0
2020.07.12	21:30:00	1.13027	1.13030	1.13004	1.13021	0	0	0
2020.07.12	22:00:00	1.13018	1.13128	1.13015	1.13112	0	0	0
2020.07.12	22:30:00	1.13095	1.13147	1.13081	1.13146	0	0	0
2020.07.12	23:00:00	1.13154	1.13168	1.13099	1.13131	0	0	0
2020.07.12	23:30:00	1.13132	1.13133	1.13082	1.13082	0	0	0
2020.07.13	00:00:00	1.13082	1.13099	1.13032	1.13097	419	0	0
2020.07.13	00:30:00	1.13098	1.13142	1.13080	1.13139	436	0	0
2020.07.13	01:00:00	1.13139	1.13213	1.13137	1.13191	548	0	0
2020.07.13	01:30:00	1.13192	1.13238	1.13169	1.13191	424	0	0
2020.07.13	02:00:00	1.13191	1.13235	1.13180	1.13230	319	0	0
2020.07.13	02:30:00	1.13230	1.13261	1.13228	1.13242	323	0	0
2020.07.13	03:00:00	1.13241	1.13298	1.13233	1.13289	382	0	0
2020.07.13	03:30:00	1.13289	1.13296	1.13257	1.13263	292	0	0
2020.07.13	04:00:00	1.13263	1.13273	1.13237	1.13245	161	0	0
2020.07.13	04:30:00	1.13245	1.13245	1.13205	1.13221	307	0	0
2020.07.13	05:00:00	1.13221	1.13353	1.13210	1.13352	387	0	0
2020.07.13	05:30:00	1.13352	1.13356	1.13285	1.13286	388	0	0
2020.07.13	06:00:00	1.13287	1.13320	1.13232	1.13253	651	0	0
2020.07.13	06:30:00	1.13254	1.13341	1.13248	1.13304	692	0	0
2020.07.13	07:00:00	1.13304	1.13321	1.13137	1.13163	1058	0	0
2020.07.13	07:30:00	1.13164	1.13219	1.13134	1.13180	846	0	0
2020.07.13	08:00:00	1.13181	1.13185	1.13067	1.13072	936	0	0
2020.07.13	08:30:00	1.13073	1.13097	1.13005	1.13082	725	0	0
2020.07.13	09:00:00	1.13083	1.13145	1.13038	1.13114	710	0	0
2020.07.13	09:30:00	1.13115	1.13198	1.13106	1.13186	825	0	0
2020.07.13	10:00:00	1.13186	1.13300	1.13186	1.13286	657	0	0
2020.07.13	10:30:00	1.13286	1.13346	1.13226	1.13292	697	0	0
2020.07.13	11:00:00	1.13291	1.13379	1.13273	1.13320	801	0	0
2020.07.13	11:30:00	1.13320	1.13349	1.13258	1.13339	689	0	0
2020.07.13	12:00:00	1.13339	1.13379	1.13238	1.13278	836	0	0
2020.07.13	12:30:00	1.13279	1.13342	1.13251	1.13252	756	0	0
2020.07.13	13:00:00	1.13251	1.13420	1.13249	1.13410	809	0	0
2020.07.13	13:30:00	1.13409	1.13572	1.13408	1.13526	1322	0	0
2020.07.13	14:00:00	1.13528	1.13665	1.13517	1.13621	959	0	0
2020.07.13	14:30:00	1.13621	1.13696	1.13581	1.13672	1125	0	0
2020.07.13	15:00:00	1.13672	1.13705	1.13592	1.13615	1106	0	0
2020.07.13	15:30:00	1.13616	1.13671	1.13554	1.13638	822	0	0
2020.07.13	16:00:00	1.13638	1.13744	1.13571	1.13725	690	0	0
2020.07.13	16:30:00	1.13725	1.13742	1.13661	1.13671	629	0	0
2020.07.13	17:00:00	1.13670	1.13742	1.13647	1.13690	438	0	0
2020.07.13	17:30:00	1.13691	1.13712	1.13659	1.13691	471	0	0
2020.07.13	18:00:00	1.13691	1.13697	1.13570	1.13570	682	0	0
2020.07.13	18:30:00	1.13570	1.13588	1.13509	1.13523	684	0	0
2020.07.13	19:00:00	1.13522	1.13567	1.13463	1.13493	813	0	0
2020.07.13	19:30:00	1.13492	1.13509	1.13425	1.13494	982	0	0
2020.07.13	20:00:00	1.13493	1.13493	1.13431	1.13478	427	0	0
2020.07.13	20:30:00	1.13478	1.13478	1.13409	1.13430	339	0	0
2020.07.13	21:00:00	1.13404	1.13421	1.13377	1.13390	314	0	0
2020.07.13	21:30:00	1.13391	1.13437	1.13391	1.13411	495	0	0
2020.07.13	22:00:00	1.13427	1.13461	1.13402	1.13450	333	0	0
2020.07.13	22:30:00	1.13450	1.13452	1.13419	1.13437	494	0	0
2020.07.13	23:00:00	1.13444	1.13469	1.13444	1.13464	189	0	0
2020.07.13	23:30:00	1.13465	1.13498	1.13441	1.13445	229	0	0
2020.07.14	00:00:00	1.13445	1.13476	1.13396	1.13420	486	0	0
2020.07.14	00:30:00	1.13419	1.13477	1.13407	1.13444	354	0	0
2020.07.14	01:00:00	1.13445	1.13480	1.13372	1.13376	617	0	0
2020.07.14	01:30:00	1.13377	1.13456	1.13371	1.13430	528	0	0
2020.07.14	02:00:00	1.13430	1.13460	1.13385	1.13397	453	0	0
2020.07.14	02:30:00	1.13396	1.13397	1.13349	1.13384	374	0	0
2020.07.14	03:00:00	1.13384	1.13415	1.13383	1.13402	384	0	0
2020.07.14	03:30:00	1.13402	1.13420	1.13382	1.13415	316	0	0
