<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.28	152.35	153.80	150.16	150.34	22285	0	0
2020.07.29	151.11	151.93	149.82	151.45	21523	0	0
2020.07.30	151.66	154.53	150.22	153.73	26458	0	0
2020.07.31	159.24	160.41	157.47	158.00	34221	0	0
2020.08.03	157.15	157.92	155.18	155.99	26274	0	0
2020.08.04	155.92	158.31	155.06	156.19	26771	0	0
2020.08.05	156.87	160.63	156.57	160.10	25121	0	0
2020.08.06	159.27	162.32	158.24	161.71	22874	0	0
2020.08.07	161.03	161.74	157.03	158.28	32521	0	0
2020.08.10	158.22	158.35	155.05	156.93	24348	0	0
2020.08.11	155.55	157.91	154.58	154.69	30440	0	0
2020.08.12	155.59	158.67	155.57	158.08	24386	0	0
2020.08.13	159.85	160.82	158.19	158.61	23967	0	0
2020.08.14	158.60	158.77	155.96	156.61	23500	0	0
2020.08.17	158.36	159.70	157.70	159.49	15730	0	0
2020.08.18	162.89	165.88	162.06	165.84	23388	0	0
2020.08.19	164.66	165.56	162.82	163.65	24435	0	0
2020.08.20	163.09	165.41	163.03	165.28	19721	0	0
2020.08.21	164.40	165.05	163.73	163.90	20965	0	0
2020.08.24	167.94	168.98	162.81	165.25	28084	0	0
2020.08.25	163.74	167.84	163.34	167.04	24008	0	0
2020.08.26	167.86	172.54	167.19	171.76	28267	0	0
2020.08.27	171.44	172.29	168.91	170.62	27095	0	0
2020.08.28	170.23	171.58	169.32	170.04	22009	0	0
2020.08.31	170.50	174.71	170.48	173.31	26344	0	0
2020.09.01	174.28	175.64	173.57	175.04	21367	0	0
2020.09.02	176.77	177.29	174.25	176.39	24133	0	0
2020.09.03	173.69	173.87	165.12	167.41	37454	0	0
2020.09.04	167.89	168.10	155.49	164.78	49766	0	0
2020.09.08	159.05	162.46	157.06	157.74	39317	0	0
2020.09.09	159.97	165.12	159.16	164.52	29898	0	0
2020.09.10	166.21	167.44	158.48	159.60	36740	0	0
