<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.05	1.18783	1.18858	1.18770	1.18851	90	0	0
2021.09.06	1.18853	1.18853	1.18554	1.18729	11609	0	0
2021.09.07	1.18729	1.18848	1.18370	1.18427	20298	0	0
2021.09.08	1.18426	1.18507	1.18017	1.18184	19506	0	0
2021.09.09	1.18181	1.18409	1.18048	1.18228	21599	0	0
2021.09.10	1.18228	1.18507	1.18091	1.18103	17313	0	0
2021.09.12	1.18107	1.18144	1.18085	1.18110	85	0	0
2021.09.13	1.18112	1.18166	1.17698	1.18093	16952	0	0
2021.09.14	1.18092	1.18453	1.17997	1.18022	19203	0	0
2021.09.15	1.18022	1.18314	1.17987	1.18185	19299	0	0
2021.09.16	1.18183	1.18201	1.17501	1.17644	19555	0	0
2021.09.17	1.17644	1.17885	1.17243	1.17250	18259	0	0
2021.09.19	1.17262	1.17289	1.17229	1.17288	57	0	0
2021.09.20	1.17290	1.17360	1.16998	1.17265	18118	0	0
2021.09.21	1.17265	1.17482	1.17144	1.17224	19033	0	0
2021.09.22	1.17226	1.17552	1.16831	1.16868	27167	0	0
2021.09.23	1.16869	1.17497	1.16830	1.17394	21417	0	0
2021.09.24	1.17395	1.17471	1.17003	1.17202	15735	0	0
2021.09.26	1.17226	1.17234	1.17109	1.17221	176	0	0
2021.09.27	1.17223	1.17247	1.16840	1.16952	19998	0	0
2021.09.28	1.16950	1.17028	1.16679	1.16857	24676	0	0
2021.09.29	1.16858	1.16896	1.15889	1.16009	23811	0	0
2021.09.30	1.16011	1.16092	1.15622	1.15734	27712	0	0
2021.10.01	1.15733	1.16069	1.15626	1.15928	22032	0	0
2021.10.03	1.15954	1.16106	1.15934	1.16062	76	0	0
2021.10.04	1.16063	1.16395	1.15873	1.16158	18616	0	0
2021.10.05	1.16160	1.16195	1.15801	1.15953	19415	0	0
2021.10.06	1.15953	1.15974	1.15288	1.15547	22674	0	0
2021.10.07	1.15546	1.15715	1.15470	1.15588	18158	0	0
2021.10.08	1.15587	1.15855	1.15409	1.15739	19345	0	0
2021.10.10	1.15675	1.15758	1.15633	1.15650	36	0	0
2021.10.11	1.15651	1.15864	1.15473	1.15529	16986	0	0
2021.10.12	1.15532	1.15698	1.15240	1.15301	18485	0	0
2021.10.13	1.15303	1.15989	1.15296	1.15965	20952	0	0
2021.10.14	1.15965	1.16238	1.15836	1.15900	16420	0	0
2021.10.15	1.15902	1.16183	1.15877	1.15990	17687	0	0
2021.10.17	1.15952	1.16049	1.15941	1.15961	157	0	0
2021.10.18	1.15961	1.16220	1.15714	1.16128	18835	0	0
2021.10.19	1.16130	1.16689	1.16128	1.16309	18926	0	0
2021.10.20	1.16312	1.16581	1.16164	1.16520	18922	0	0
2021.10.21	1.16518	1.16670	1.16193	1.16245	19100	0	0
2021.10.22	1.16243	1.16553	1.16208	1.16439	19174	0	0
2021.10.24	1.16404	1.16447	1.16355	1.16386	843	0	0
2021.10.25	1.16389	1.16646	1.15902	1.16083	18588	0	0
2021.10.26	1.16084	1.16252	1.15844	1.15958	18518	0	0
2021.10.27	1.15959	1.16256	1.15846	1.15980	20723	0	0
2021.10.28	1.15982	1.16917	1.15819	1.16817	29539	0	0
2021.10.29	1.16819	1.16895	1.15347	1.15614	24299	0	0
2021.10.31	1.15572	1.15641	1.15550	1.15559	1499	0	0
2021.11.01	1.15559	1.16088	1.15457	1.15990	20400	0	0
2021.11.02	1.15991	1.16130	1.15742	1.15786	20549	0	0
2021.11.03	1.15787	1.16160	1.15619	1.16149	26208	0	0
2021.11.04	1.16148	1.16156	1.15279	1.15550	22786	0	0
2021.11.05	1.15548	1.15730	1.15130	1.15676	22916	0	0
2021.11.07	1.15607	1.15694	1.15537	1.15678	1847	0	0
2021.11.08	1.15677	1.15945	1.15501	1.15874	19402	0	0
2021.11.09	1.15873	1.16083	1.15695	1.15935	22743	0	0
2021.11.10	1.15937	1.15948	1.14733	1.14851	29542	0	0
2021.11.11	1.14849	1.14871	1.14428	1.14472	23044	0	0
2021.11.12	1.14473	1.14615	1.14322	1.14430	20167	0	0
2021.11.14	1.14437	1.14442	1.14408	1.14409	323	0	0
2021.11.15	1.14410	1.14635	1.13558	1.13665	23767	0	0
2021.11.16	1.13667	1.13852	1.13084	1.13176	26474	0	0
2021.11.17	1.13178	1.13318	1.12605	1.13173	27933	0	0
2021.11.18	1.13175	1.13737	1.13134	1.13675	23244	0	0
2021.11.19	1.13674	1.13687	1.12496	1.12809	30189	0	0
2021.11.21	1.12865	1.12867	1.12714	1.12750	1153	0	0
2021.11.22	1.12751	1.12901	1.12303	1.12411	31109	0	0
2021.11.23	1.12410	1.12746	1.12257	1.12442	28403	0	0
2021.11.24	1.12440	1.12549	1.11857	1.12024	29736	0	0
2021.11.25	1.12025	1.12291	1.12025	1.12086	16827	0	0
2021.11.26	1.12084	1.13269	1.12065	1.13131	38478	0	0
2021.11.28	1.13047	1.13105	1.12802	1.12919	3271	0	0
2021.11.29	1.12917	1.12999	1.12581	1.12922	27032	0	0
2021.11.30	1.12924	1.13824	1.12346	1.13296	39990	0	0
2021.12.01	1.13297	1.13592	1.13023	1.13186	33016	0	0
2021.12.02	1.13187	1.13472	1.12949	1.13052	25532	0	0
2021.12.03	1.13055	1.13331	1.12662	1.13092	30620	0	0
2021.12.05	1.13019	1.13114	1.13013	1.13037	1275	0	0
2021.12.06	1.13036	1.13097	1.12660	1.12831	22573	0	0
2021.12.07	1.12832	1.12980	1.12272	1.12725	23654	0	0
2021.12.08	1.12726	1.13543	1.12665	1.13437	25715	0	0
2021.12.09	1.13438	1.13438	1.12781	1.12931	22553	0	0
2021.12.10	1.12930	1.13235	1.12647	1.13162	22476	0	0
2021.12.12	1.13117	1.13188	1.13060	1.13101	808	0	0
2021.12.13	1.13099	1.13136	1.12597	1.12829	21057	0	0
2021.12.14	1.12827	1.13234	1.12534	1.12571	20678	0	0
2021.12.15	1.12569	1.12988	1.12214	1.12900	28768	0	0
2021.12.16	1.12902	1.13598	1.12809	1.13332	27630	0	0
2021.12.17	1.13334	1.13485	1.12346	1.12360	22743	0	0
2021.12.19	1.12364	1.12437	1.12343	1.12423	913	0	0
