<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.01	12:00:00	126.06	127.63	123.63	123.95	31539	0	4
2022.09.01	16:00:00	123.95	127.14	123.85	126.64	21728	0	4
2022.09.02	08:00:00	127.61	127.73	127.02	127.67	578	0	16
2022.09.02	12:00:00	127.67	131.36	127.30	130.70	27640	0	4
2022.09.02	16:00:00	130.70	130.79	126.37	126.37	37574	0	4
2022.09.06	08:00:00	128.40	128.79	128.14	128.41	1557	0	16
2022.09.06	12:00:00	128.42	128.74	124.79	127.04	45522	0	4
2022.09.06	16:00:00	127.05	127.29	125.31	126.35	35023	0	4
2022.09.07	08:00:00	126.31	126.46	125.59	125.77	2227	0	7
2022.09.07	12:00:00	125.77	127.87	125.38	127.60	29899	0	4
2022.09.07	16:00:00	127.61	129.72	127.22	129.28	17575	0	4
2022.09.08	08:00:00	129.11	129.58	129.09	129.34	1091	0	7
2022.09.08	12:00:00	129.35	130.23	127.09	129.19	31505	0	4
2022.09.08	16:00:00	129.19	129.54	127.09	129.00	30643	0	4
2022.09.09	08:00:00	131.00	131.48	130.86	131.35	736	0	16
2022.09.09	12:00:00	131.36	132.54	130.68	132.15	23973	0	4
2022.09.09	16:00:00	132.15	133.60	131.49	133.51	12451	0	4
2022.09.12	08:00:00	133.85	134.51	133.74	134.43	1077	0	7
2022.09.12	12:00:00	134.42	136.32	133.63	135.23	20598	0	4
2022.09.12	16:00:00	135.24	136.33	134.82	136.25	15115	0	4
2022.09.13	08:00:00	136.62	137.49	136.54	137.43	908	0	7
2022.09.13	12:00:00	137.45	137.70	128.19	128.37	31090	0	4
2022.09.13	16:00:00	128.36	130.11	126.57	126.70	16869	0	4
2022.09.14	08:00:00	127.54	127.85	126.50	126.62	1156	0	16
2022.09.14	12:00:00	126.61	128.24	126.30	127.94	37977	0	4
2022.09.14	16:00:00	127.95	128.63	126.87	127.86	23833	0	4
2022.09.15	08:00:00	128.41	128.41	127.54	128.09	1490	0	16
2022.09.15	12:00:00	128.08	130.33	126.57	126.91	29090	0	4
2022.09.15	16:00:00	126.90	128.09	125.46	125.95	21212	0	4
2022.09.16	08:00:00	122.63	123.25	122.52	123.05	628	0	16
2022.09.16	12:00:00	123.07	123.18	120.67	122.88	41881	0	4
2022.09.16	16:00:00	122.89	123.83	121.77	123.38	23469	0	4
2022.09.19	08:00:00	122.05	122.38	121.87	122.09	1041	0	16
2022.09.19	12:00:00	122.13	124.43	121.74	123.36	25007	0	4
2022.09.19	16:00:00	123.35	124.66	122.94	124.38	18843	0	4
2022.09.20	08:00:00	123.93	124.89	123.88	124.38	2040	0	7
2022.09.20	12:00:00	124.34	124.57	122.67	123.97	21591	0	4
2022.09.20	16:00:00	123.98	124.18	121.12	122.46	18174	0	4
2022.09.21	08:00:00	122.29	122.37	121.77	122.08	1554	0	7
2022.09.21	12:00:00	122.08	122.78	121.75	122.22	17290	0	4
2022.09.21	16:00:00	122.21	123.70	119.12	119.12	53445	0	4
2022.09.22	08:00:00	118.15	118.65	117.51	118.20	1601	0	16
2022.09.22	12:00:00	118.20	118.78	116.39	116.73	33372	0	4
2022.09.22	16:00:00	116.73	118.24	116.24	117.94	24884	0	4
2022.09.23	08:00:00	115.44	115.55	114.76	115.20	1231	0	16
2022.09.23	12:00:00	115.20	116.29	113.21	114.25	38141	0	4
2022.09.23	16:00:00	114.25	114.34	112.04	113.79	23683	0	4
2022.09.26	08:00:00	113.13	113.40	112.84	113.06	2064	0	16
2022.09.26	12:00:00	113.03	117.30	112.78	116.12	40949	0	4
2022.09.26	16:00:00	116.13	116.20	114.76	115.42	36793	0	4
2022.09.27	08:00:00	116.41	117.79	116.39	117.42	1897	0	16
2022.09.27	12:00:00	117.42	118.29	114.38	114.51	40225	0	4
2022.09.27	16:00:00	114.52	114.95	113.03	114.44	33973	0	4
2022.09.28	08:00:00	112.13	114.39	112.13	112.89	3704	0	16
2022.09.28	12:00:00	112.87	117.01	112.87	116.95	46816	0	4
2022.09.28	16:00:00	116.96	118.33	116.68	118.31	19848	0	4
2022.09.29	08:00:00	116.36	117.19	116.06	116.56	2302	0	16
2022.09.29	12:00:00	116.56	116.71	113.40	114.92	41821	0	4
2022.09.29	16:00:00	114.93	115.31	113.04	114.53	23676	0	4
2022.09.30	08:00:00	115.26	115.77	114.39	114.73	3220	0	16
2022.09.30	12:00:00	114.73	116.90	113.07	115.63	44577	0	4
2022.09.30	16:00:00	115.64	116.27	113.59	114.01	26665	0	4
2022.10.03	08:00:00	112.14	113.68	112.07	113.68	1081	0	16
2022.10.03	12:00:00	113.71	115.24	112.43	114.76	28402	0	4
2022.10.03	16:00:00	114.76	116.88	114.45	116.25	17023	0	4
2022.10.04	08:00:00	118.06	119.25	118.05	118.99	1424	0	16
2022.10.04	12:00:00	119.00	122.97	118.72	122.52	28006	0	4
2022.10.04	16:00:00	122.53	122.72	120.37	120.64	20747	0	4
2022.10.05	08:00:00	119.57	120.17	119.54	119.82	1178	0	7
2022.10.05	12:00:00	119.83	120.21	117.66	119.06	31588	0	4
2022.10.05	16:00:00	119.06	121.72	118.70	121.39	21519	0	4
2022.10.06	08:00:00	119.60	120.58	119.44	120.45	1636	0	7
2022.10.06	12:00:00	120.45	121.48	119.50	120.23	34485	0	4
2022.10.06	16:00:00	120.23	121.21	119.92	120.54	21316	0	4
2022.10.07	08:00:00	119.97	119.98	119.44	119.76	1259	0	7
2022.10.07	12:00:00	119.78	120.29	115.08	115.45	33844	0	4
2022.10.07	16:00:00	115.44	115.62	113.86	114.40	18168	0	4
2022.10.10	08:00:00	114.47	114.85	113.99	114.59	2033	0	7
2022.10.10	12:00:00	114.57	116.20	113.55	114.00	32659	0	4
2022.10.10	16:00:00	114.01	114.63	112.42	113.83	28211	0	4
2022.10.11	08:00:00	112.54	113.09	112.27	112.98	1626	0	7
2022.10.11	12:00:00	113.04	113.86	110.37	113.19	41122	0	4
2022.10.11	16:00:00	113.20	115.45	111.44	111.90	36413	0	4
2022.10.12	08:00:00	113.37	113.44	112.96	113.21	1465	0	7
2022.10.12	12:00:00	113.24	113.71	111.37	113.03	37211	0	4
2022.10.12	16:00:00	113.04	113.81	112.13	113.23	28394	0	4
2022.10.13	08:00:00	113.23	113.82	113.09	113.56	1526	0	7
2022.10.13	12:00:00	113.59	114.31	105.32	111.70	84743	0	4
2022.10.13	16:00:00	111.71	112.95	110.33	112.71	37629	0	4
2022.10.14	08:00:00	112.01	112.78	111.80	111.89	1787	0	16
2022.10.14	12:00:00	111.89	114.92	109.10	109.30	66244	0	4
2022.10.14	16:00:00	109.30	109.78	107.19	107.38	27950	0	4
2022.10.17	08:00:00	108.30	109.05	108.30	108.66	1137	0	16
2022.10.17	12:00:00	108.68	113.73	108.25	113.37	36178	0	4
2022.10.17	16:00:00	113.37	114.11	112.62	113.92	17835	0	4
2022.10.18	08:00:00	115.93	116.99	115.66	116.95	963	0	16
2022.10.18	12:00:00	116.94	119.41	114.76	115.84	41177	0	4
2022.10.18	16:00:00	115.83	116.93	115.00	116.39	35407	0	4
2022.10.19	08:00:00	117.59	117.68	116.01	116.53	2423	0	16
2022.10.19	12:00:00	116.52	116.68	113.20	115.24	35422	0	4
2022.10.19	16:00:00	115.23	115.37	113.70	114.60	23594	0	4
2022.10.20	08:00:00	114.21	115.53	114.11	115.22	2033	0	7
2022.10.20	12:00:00	115.20	118.21	113.47	117.65	32733	0	4
2022.10.20	16:00:00	117.66	117.70	114.73	115.39	27617	0	4
2022.10.21	08:00:00	113.96	114.30	113.69	113.82	1008	0	16
2022.10.21	12:00:00	113.81	117.20	113.09	117.19	60584	0	4
2022.10.21	16:00:00	117.20	119.51	116.82	119.35	25898	0	4
2022.10.24	08:00:00	119.54	121.03	119.16	120.79	1864	0	7
2022.10.24	12:00:00	120.74	120.76	116.54	119.22	43162	0	4
2022.10.24	16:00:00	119.22	120.30	118.38	120.01	17635	0	4
2022.10.25	08:00:00	118.92	119.63	118.84	119.25	1120	0	16
2022.10.25	12:00:00	119.25	121.29	118.93	120.57	25278	0	4
2022.10.25	16:00:00	120.58	120.96	119.35	120.81	14136	0	4
2022.10.26	08:00:00	115.85	116.70	115.64	116.36	1269	0	16
2022.10.26	12:00:00	116.40	119.31	114.74	118.61	32456	0	4
2022.10.26	16:00:00	118.61	118.78	115.48	115.91	21389	0	4
2022.10.27	08:00:00	114.31	115.09	113.99	114.06	1730	0	16
2022.10.27	12:00:00	114.06	115.93	111.24	112.24	34262	0	4
2022.10.27	16:00:00	112.23	112.24	109.75	110.97	19684	0	4
2022.10.28	08:00:00	96.28	98.19	96.14	96.88	3281	0	16
2022.10.28	12:00:00	96.88	102.43	94.82	100.04	60565	0	4
2022.10.28	16:00:00	100.04	103.37	99.49	102.77	19646	0	4
